199210262218, 81, 69, 54,138,
199210262248, 69, 47, 41,119,
199210262317, 70, 57, 44,115,
199210262347, 66, 53, 46,102,
199210270017, 80, 61, 55,125,
199210270047, 74, 55, 42,119,
199210270117, 73, 56, 45,125,
199210270147, 80, 67, 55,136,
199210270217, 82, 67, 59,138,
199210270247, 82, 67, 59,138,
199210270317, 83, 63, 50,136,
199210270347, 77, 57, 47,131,
199210270417, 80, 59, 47,119,
199210270447, 88, 82, 71,156,
199210270517, 89, 63, 49,131,
199210270547, 81, 66, 57,133,
199210270616, 77, 59, 54,105,
199210270646, 73, 60, 47,129,
199210270716, 76, 52, 41,136,
199210270746, 85, 64, 53,133,
199210270816, 73, 61, 56,122,
199210270846, 75, 52, 44,129,
199210270916, 86, 57, 50,141,
199210270946, 61, 45, 33,129,
199210271016, 76, 58, 44,133,
199210271046, 71, 53, 40,117,
199210271116, 86, 60, 55,156,
199210271146, 95, 69, 59,122,
199210271216, 69, 46, 37,133,
199210271246, 84, 65, 58,127,
199210271306, 79, 53, 43,122,
199210271337, 81, 55, 46,107,
199210271406, 89, 68, 60,156,
199210271436, 79, 62, 57,150,
199210271507, 63, 49, 44,133,
199210271536, 84, 63, 53,122,
199210271606, 78, 64, 58,141,
199210271636, 84, 65, 53,136,
199210271707,104, 90, 59,153,
199210271736, 98, 77, 50,163,
199210271806, 85, 64, 48,129,
199210271840, 86, 65, 53,136,
199210271910, 80, 72, 55,159,
199210271940, 93, 82, 64,150,
199210272010, 93, 73, 63,129,
199210272040, 81, 60, 45,136,
199210272110, 82, 61, 46,136,
199210272145, 92, 63, 53,163,
199210272206, 65, 53, 42,144,
199210272237, 77, 57, 47,131,
199210272306, 78, 57, 47,129,
199210272357, 93, 80, 67,170,
199210280029, 76, 68, 59,153,
199210280129, 90, 77, 64,147,
199210280159, 69, 57, 52,150,
199210280229, 77, 58, 47,133,
199210280259, 69, 48, 37,133,
199210280328, 69, 53, 40,129,
199210280358, 78, 66, 61,144,
199210280429, 85, 65, 53,150,
199210280458, 72, 58, 40,133,
199210280528, 81, 61, 47,138,
199210280558, 74, 62, 44,129,
199210280628, 76, 52, 43,120,
199210280658, 71, 57, 50,125,
199210280731, 83, 69, 52,147,
199210280801, 85, 66, 53,141,
199210280831, 76, 65, 48,153,
199210280901, 71, 58, 50,129,
199210281033, 88, 82, 65,202,
199210281102, 81, 61, 52,144,
199210281132, 74, 56, 48,131,
199210281202, 75, 57, 47,119,
199210281252, 87, 65, 53,125,
199210281316, 82, 63, 54,138,
199210281359, 68, 57, 49,136,
199210281415, 73, 60, 52,129,
199210281429, 90, 64, 55,133,
199210281455, 86, 66, 54,131,
199210281611, 85, 63, 55,178,
199210281641, 66, 54, 44,125,
199210281710, 68, 56, 46,138,
199210281740, 76, 52, 36,133,
199210281810, 71, 59, 44,115,
199210281840, 73, 60, 50,129,
199210281929, 86, 73, 53,147,
199210281959, 74, 56, 47,133,
199210282029, 84, 53, 48,127,
199210282127, 79, 67, 51,144,
199210282157, 73, 67, 58,159,
199210282227, 77, 58, 48,141,
199210282257, 77, 57, 45,141,
199210282327, 70, 52, 41,115,
199210282357, 62, 52, 47,138,
199210290027, 57, 42, 34,120,
199210290057, 65, 50, 43,129,
199210290226, 80, 60, 50,178,
199210290257, 79, 48, 43,141,
199210290326, 81, 61, 52,141,
199210290357, 92, 70, 63,150,
199210290426, 80, 59, 41,131,
199210290456, 75, 57, 40,138,
199210290526, 65, 53, 41,122,
199210290556, 72, 54, 42,125,
199210290626, 68, 46, 39,129,
199210290656, 78, 59, 46,131,
199210290726, 79, 59, 48,131,
199210290757, 80, 66, 50,150,
199210290826, 76, 52, 42,127,
199210290856, 76, 63, 48,153,
199210290926, 71, 58, 48,138,
199210290956, 67, 46, 35,125,
199210291026, 64, 52, 38,125,
199210291055, 65, 51, 46,150,
199210291125, 86, 75, 70,163,
199210291155, 74, 56, 48,136,
199210291225, 69, 48, 37,133,
199210291255, 75, 62, 49,122,
199210291325, 64, 48, 36,131,
199210291355, 70, 52, 47,138,
199210291425, 71, 52, 41,120,
199210291455, 67, 51, 43,122,
199210291525, 75, 57, 49,144,
199210291555, 64, 58, 38,153,
199210291625, 78, 66, 60,147,
199210291655, 85, 64, 53,156,
199210291725, 76, 58, 47,136,
199210291754, 90, 71, 55,131,
199210291825, 74, 55, 45,153,
199210291856,101, 72, 54,178,
199210291924, 77, 59, 48,125,
199210291954, 86, 68, 61,156,
199210292024, 81, 68, 63,147,
199210292054, 76, 62, 44,127,
199210292124, 70, 58, 51,127,
199210292154, 70, 58, 51,127,
199210292224, 66, 44, 35,129,
199210292254, 83, 58, 40,141,
199210292324,147,100, 95,187,
199210292354, 90, 75, 65,159,
199210300024, 65, 60, 52,153,
199210300053, 78, 64, 52,125,
199210300124,100, 88, 80,113,
199210300154, 87, 66, 52,136,
199210300223, 60, 44, 34,133,
199210300253, 68, 51, 38,127,
199210300323, 62, 44, 38,111,
199210300353, 64, 47, 35,117,
199210300423, 83, 64, 53,138,
199210300453, 76, 56, 43,138,
199210300523, 83, 65, 50, 78,
199210300623, 78, 72, 61,144,
199210300653, 71, 49, 41,122,
199210300723, 91, 64, 53,136,
199210300752, 80, 60, 46,141,
199210300822, 75, 55, 46,136,
199210300852, 70, 53, 39,125,
199210300923, 66, 47, 42,156,
199210300953, 84, 73, 67, 46,
199210301023, 77, 54, 49,153,
199210301052, 71, 58, 48, 72,
199210301122,103, 75, 65,156,
199210301152, 78, 53, 45,131,
199210301222, 80, 59, 49,136,
199210301252, 76, 58, 42,131,
199210301322, 77, 58, 52,111,
199210301352, 65, 52, 47,138,
199210301421, 80, 66, 51,144,
199210301452, 88, 75, 53,150,
199210301521, 70, 53, 43,136,
199210301551, 70, 53, 43,136,
199210301621, 63, 44, 31,129,
199210301651, 84, 78, 62,159,
199210301721, 87, 54, 49,127,a
199210301751, 68, 46, 34,133,
199210301821, 77, 52, 42,108,
199210301852, 74, 59, 43,127,
199210301921, 70, 52, 38,129,
199210301958, 87, 72, 57,153,
199210302028, 77, 64, 51,150,
199210302058, 72, 48, 38,129,
199210302128, 67, 46, 33,129,
199210302157, 81, 68, 61,159,
199210302228, 75, 60, 52,163,
199210302258, 65, 56, 51,170,
199210302327, 81, 51, 43,138,
199210302357, 75, 52, 45,133,
199210310027, 70, 53, 42,133,
199210310057, 65, 48, 37,127,
199210310127, 63, 58, 53,166,
199210310227, 76, 63, 48,147,
199210310257, 71, 52, 42,129,
199210310327, 89, 62, 51,119,
199210310357, 72, 52, 40,129,
199210310427, 73, 55, 45,115,
199210310456, 74, 56, 46,136,
199210310526, 76, 57, 48,131,
199210310628, 80, 58, 42,138,
199210310658, 74, 55, 45,119,
199210310728, 77, 54, 49,144,
199210310758, 74, 49, 35,125,
199210310827, 90, 64, 46,138,
199210310858, 78, 57, 39,133,
199210310928, 73, 49, 35,120,
199210310957, 82, 61, 44,129,
199210311027, 91, 54, 46,131,
199210311059,116,110, 88,208,
199210311129,117,111, 94,214,
199210311228, 89, 68, 49,136,
199210311259, 84, 63, 46,144,
199210311329, 59, 55, 50,192,
199210311359, 54, 43, 38,166,
199210311428, 72, 55, 43,125,
199210311430, 71, 53, 43,131,
199210311459, 87, 68, 58,125,
199210311533,107, 94, 76,156,
199210311602,118,111, 92,129,
199210311633, 79, 58, 48,141,
199210311702, 86, 74, 60,166,
199210311732, 74, 51, 40,147,
199210311802, 83, 62, 57,170,
199210311832, 83, 64, 53,182,
199210311902, 79, 65, 59,156,
199210311932, 96, 74, 59,150,
199210312002, 70, 58, 43,141,
199210312032, 79, 59, 48,133,
199210312102, 76, 57, 45,133,
199210312132, 65, 44, 34,125,
199210312232, 86, 73, 68,166,
199210312302, 81, 62, 53,144,
199210312332, 84, 66, 61,138,
199211010002, 88, 61, 55,156,
199211010031, 76, 52, 47,144,
199211010101, 70, 53, 40,131,
199211010131, 86, 79, 65,153,
199211010201, 76, 57, 47,129,
199211010231, 70, 55, 50,136,
199211010301, 85, 59, 50,122,
199211010331, 78, 66, 53,120,
199211010401, 73, 53, 43,125,
199211010431, 82, 62, 48,125,
199211010501, 83, 69, 55,144,
199211010531, 71, 47, 38,131,
199211010601, 79, 32, 23,133,
199211010631, 67, 35, 24,131,
199211010737,101, 74, 47,159,
199211010806, 76, 57, 48,136,
199211010836, 71, 47, 41,129,
199211010906, 73, 55, 46,127,
199211010936, 76, 57, 47,153,
199211011006, 59, 42, 32,110,
199211011037, 75, 69, 48,182,
199211011106, 71, 52, 47,138,
199211011136, 70, 52, 43,138,
199211011207,101, 74, 60,156,
199211011236, 76, 58, 45,141,
199211011305, 79, 59, 40,131,
199211011335, 74, 55, 45,131,
199211011405, 62, 44, 36,117,
199211011435, 69, 48, 37,133,
199211011505, 72, 53, 43,131,
199211011535, 75, 51, 43,131,
199211011605, 83, 63, 49,125,
199211011635, 77, 57, 49,131,
199211011705, 87, 60, 55,156,
199211011735, 62, 47, 35,127,
199211011805, 72, 69, 64,153,
199211011835, 67, 50, 44,127,
199211011905, 75, 47, 35,125,
199211012005, 73, 61, 50,156,
199211012034, 74, 61, 43,153,
199211012105, 76, 66, 61,159,
199211012136, 93, 74, 69,187,
199211012205, 74, 68, 52,178,
199211012234, 76, 52, 47,136,
199211012305,126, 99, 80,153,
199211012334, 65, 49, 35,131,
199211020004, 74, 62, 42,125,
199211020034, 77, 52, 42,117,
199211020104, 98, 86, 69,156,
199211020134, 72, 53, 43,136,
199211020204, 88, 74, 61,136,
199211020234, 68, 51, 37,127,
199211020304, 78, 60, 49,138,
199211020334, 61, 43, 37,131,
199211020404, 74, 55, 42,125,
199211020434, 82, 65, 60,147,
199211020503, 62, 44, 35,131,
199211020532, 60, 45, 34,133,
199211020601, 76, 53, 44,147,
199211020631, 72, 58, 46,138,
199211020701, 66, 49, 36,122,
199211020732, 77, 56, 45,120,
199211020801, 72, 49, 39,127,
199211020831, 66, 49, 39,133,
199211020905, 82, 76, 62,202,
199211020934, 70, 46, 37,141,
199211021004, 65, 48, 43,133,
199211021034, 71, 47, 40,129,
199211021104, 65, 58, 43,147,
199211021133, 74, 66, 61,170,
199211021203, 83, 57, 46,144,
199211021233, 66, 54, 44,141,
199211021303, 67, 46, 31,129,
199211021337, 73, 70, 65,163,
199211021407, 87, 70, 60,166,
199211021437, 69, 53, 41,133,
199211021507, 75, 49, 44,159,
199211021537, 63, 49, 37,133,
199211021607, 71, 52, 42,120,
199211021637, 66, 55, 44,141,
199211021707, 73, 50, 39,138,
199211021736, 69, 47, 42,131,
199211021806, 84, 65, 53,131,
199211021836, 71, 58, 43,127,
199211021906, 74, 55, 45,138,
199211021936, 93, 63, 58,159,
199211022006, 88, 61, 42,147, b
199211022009, 87, 59, 42,136, b
199211022012, 76, 57, 42,129, b
199211022015, 82, 57, 39,131, b
199211022018, 86, 73, 56,156, b
199211022021, 96, 68, 49,147, b
199211022024, 91, 60, 39,122, b
199211022027, 76, 53, 35,127, b
199211022030, 64, 42, 28,133, b
199211022033, 68, 47, 32,131, b
199211022036, 77, 48, 32,129, b
199211022039, 65, 43, 29,129, b
199211022042, 67, 43, 29,131, b
199211022045, 61, 41, 28,131, b
199211022047, 70, 47, 35,131, b
199211022050, 80, 49, 36,122, b
199211022054, 76, 52, 40,136, b
199211022057, 72, 44, 34,129, b
199211022100, 66, 40, 34,131, b
199211022102, 75, 51, 35,117, b
199211022106, 69, 44, 39,125, b
199211022108, 72, 49, 32,125, b
199211022112, 75, 47, 39,119, b
199211022115, 92, 51, 44,153, b
199211022121, 85, 52, 42,159, b
199211022124, 83, 64, 55,150, b
199211022127, 76, 60, 55,159, b
199211022130, 89, 77, 55,150, b
199211022133, 91, 71, 49,153, b
199211022136,100, 93, 84,197, b
199211022139, 67, 60, 55,156, b
199211022141, 75, 57, 44,138, b
199211022144, 83, 60, 46,159, b
199211022147, 91, 71, 57,159, b
199211022151, 88, 67, 50,144, b
199211022154, 76, 58, 48,147, b
199211022157, 76, 63, 54,178, b
199211022159, 85, 66, 50,150, b
199211022203, 69, 61, 49,163, b
199211022205, 79, 60, 46,138, b
199211022208, 87, 59, 49,147, b
199211022211, 87, 74, 52,170, b
199211022214, 82, 62, 43,178, b
199211022218, 86, 64, 49,178, b
199211022222, 69, 61, 52,159, b
199211022224,108, 66, 51,153, b
199211022226, 88, 68, 58,163, b
199211022229, 83, 70, 59,163, b
199211022232, 87, 73, 60,156, b
199211022235, 86, 61, 54,156, b
199211022238, 84, 62, 49,141, b
199211022242, 89, 66, 48,127, b
199211022244, 84, 71, 57,159, b
199211022247, 81, 60, 44,138, b
199211022250, 80, 56, 51,147, b
199211022252, 75, 53, 46,136, b
199211022322, 65, 48, 35,120,
199211030005,104, 90, 73,153,
199211030035,106, 93, 77,159,
199211030104, 87, 66, 52,144,
199211030133,110,104, 92,178,
199211030135, 92, 65, 53,156,
199211030204,107, 88, 77,166,
199211030234, 68, 43, 34,122,
199211030304, 78, 53, 37,131,
199211030334, 73, 49, 37,138,
199211030404, 68, 40, 27,129,
199211030434, 65, 43, 33,131,
199211030503, 80, 60, 54,136,
199211030534,127,122,115,159,
199211030538, 78, 53, 40,136,
199211030800, 79, 53, 40,129,
199211030830, 87, 60, 47,131,
199211030900, 75, 51, 41,131,
199211030930, 74, 66, 55,144,
199211031000, 84, 58, 45,125,
199211031031, 86, 62, 55,163,
199211031059, 87, 55, 43,131,
199211031130, 71, 53, 44,136,
